age,selling_price,km_driven,mileage,engine,max_power,seats
9,625000,90000,20.77,1248,88.76,7
13,135000,80000,17.92,1086,62.1,5
7,700000,110000,20.77,1248,88.76,7
3,690000,1303,17.8,1198,86.7,5
4,3975000,31800,17.01,1968,188,5
3,5150000,20000,22.37,2487,214.56,5
5,3200000,45000,19.33,1999,177,5
5,4100000,17000,9.5,3604,280,5
3,4500000,21000,12.83,1999,148.31,7
5,6000000,37000,13.5,2987,254.79,5
4,3790000,29500,22.48,1995,187.74,5
3,5800000,7500,16.78,1995,190,5
4,1864999,50000,14.67,1798,177.46,5
6,2700000,35000,15,2143,204,5
3,1750000,19000,13.96,1451,141,5
5,795000,41000,18,1497,117.6,5
9,625000,39000,14.28,1798,138.03,5
4,3400000,22000,18,1969,190,5
7,2650000,53000,12.07,2967,241.4,7
7,535000,40000,26.21,1248,88.5,5
5,5850000,47000,13.5,2987,282,5
12,975000,72200,10.8,2497,150,5
6,805000,49900,16.3,1797,147.5,5
5,2625000,9000,13.6,1999,177,5
4,811000,11000,17,1198,108.5,5
11,375000,49000,15.04,1598,103.6,5
10,550000,95000,16.3,1797,147.5,5
6,645000,11000,14.3,1598,103.5,5
4,2550000,18000,15.04,1991,183,5
8,599000,46100,16.02,1373,93.7,7
5,2700000,16000,14.74,1991,181.04,5
5,875000,18000,15.6,1497,116.3,5
3,894999,9654,19.56,1197,81.8,5
11,175000,11000,23.95,998,67.05,5
10,340000,24300,21.21,1197,81.8,5
6,1525000,42163,11.36,2755,171.5,7
4,1025000,8000,21.5,1497,108.5,5
6,2150000,30000,22.69,1995,190,5
6,1900000,41000,19.16,2494,157.7,5
6,2900000,12000,18.12,1995,190,5
13,450000,71000,12.1,2362,164.7,5
6,850000,20000,17.5,1373,91.1,7
5,10000000,30000,42,1969,400,4
11,300000,100000,20.54,1598,103.6,5
4,575000,9500,18.16,1196,86.8,5
11,160000,120000,20,1399,68,5
7,515000,36600,20.4,1197,81.8,5
7,390000,50000,20.51,998,67,5
6,550000,14000,18.6,1197,81.83,5
23,40000,40000,16.1,796,37,4
12,220000,120000,21.1,1248,73.9,5
7,425000,70000,18.9,1197,82,5
3,480000,13000,19.44,999,75,5
8,400000,60000,18.9,1197,82,5
8,487000,35000,19.1,1197,85.8,5
6,386000,44000,19.1,1197,82,5
17,100000,120000,13,1493,100,5
12,300000,60000,21.43,1364,87.2,5
22,100000,60000,18.5,796,53,5
8,1750000,30000,13,2982,168.5,7
6,450000,15000,18.15,1198,82,6
5,490000,90000,22.95,1248,74,5
13,345000,47000,17,1497,118,5
17,85000,90000,17.3,993,60,5
12,215000,120600,18.9,998,67.1,5
12,320000,100000,16.2,1599,103.2,5
6,459999,60000,20.85,1197,83.14,5
17,65000,86000,15.3,1341,83,5
2,720000,5000,18.6,1197,81.86,5
5,800000,37000,28.09,1248,88.5,5
3,520000,14000,20.3,1199,84,5
7,580000,70000,20.77,1248,88.76,7
7,600000,50000,17.4,1497,117.3,5
8,290000,60000,19.4,1198,86.8,5
6,360000,50000,26.6,998,58.16,5
5,550000,50000,20.85,1197,83.14,5
9,375000,70000,18.5,1197,82.85,5
4,420000,35000,20.51,998,67,5
5,550000,20000,21.21,1197,81.8,5
4,270000,20000,24.7,796,47.3,5
4,700000,7800,22,1197,81.8,5
5,500000,20000,20.4,1197,81.8,5
3,1250000,15000,17.6,2179,147.94,7
9,320000,31377,18.5,1197,82.85,5
4,700000,50000,28.4,1248,74.02,5
7,290000,60000,20.51,998,67.04,5
10,550000,100000,14.53,1794,138.1,5
10,265000,60000,19.4,1198,86.8,5
4,830000,5000,21.4,1197,83.1,5
5,800000,60000,14.1,2179,147.94,7
11,160000,25000,19.7,796,46.3,5
4,335000,30000,25.17,799,53.3,5
5,329000,80000,20.63,1198,67,5
5,775000,75000,24.3,1248,88.5,5
2,524000,32000,20.14,1197,81.86,5
7,245000,40000,22.74,796,47.3,5
10,275000,93000,17,1197,80,5
4,520000,60000,17.57,1193,88.7,5
8,550000,37000,16.95,1498,97.7,5
4,910000,15000,17,1497,121.36,5
7,300000,80000,19.49,1198,67.04,5
6,350000,140000,20.51,998,67.04,5
9,900000,70000,12.83,2696,162,7
9,300000,120000,17.21,1493,100,7
12,250000,110000,21.1,1248,73.9,5
5,1100000,37000,19.67,1582,126.2,5
6,270000,44000,25.17,799,53.3,5
7,640000,80000,20.77,1248,88.76,7
7,650000,125000,15.1,2179,140,7
5,409999,13500,15.37,1196,73,5
11,165000,75000,17.92,1086,62.1,5
15,80000,120000,13.2,1495,94,5
10,535000,120000,15.1,2179,140,7
9,700000,70000,12.99,2494,100.57,7
9,550000,70000,23.4,1248,74,5
3,680000,15000,19,1199,88.76,5
13,200000,53000,20.36,1197,78.9,5
8,500000,120000,23.4,1248,74,5
6,1000000,70000,24.52,1248,88.5,7
14,110000,120000,14.2,1341,82.9,5
10,320000,100000,18.5,1197,80,5
7,350000,100000,20.4,1197,83.11,5
9,170000,162500,19.4,1405,70,5
5,800000,39000,22.54,1396,88.73,5
5,500000,75000,26.8,1248,74,5
5,1380000,50000,17.6,2179,153.86,7
3,1300000,40000,17.3,1497,121,8
9,530000,92500,22.32,1582,126.3,5
10,360000,158000,23.4,1248,74,5
10,310000,120000,19.3,1248,73.9,5
7,725000,50000,26,1498,98.6,5
10,340000,110000,19.3,1248,73.9,5
5,550000,2000,25.4,1186,73.97,5
11,1150000,181000,11.5,2982,171,7
6,380000,70000,27.28,1047,69,5
9,350000,90000,17.97,1498,99.6,5
3,610000,2000,18.6,1197,81.86,5
7,525000,20000,20.85,1197,83.14,5
11,480000,120000,12.8,2494,102,7
5,780000,35000,16.55,2498,105,6
10,320000,193000,19.3,1248,73.9,5
8,375000,80000,20.4,1197,81.8,5
3,300000,40000,19.02,1198,67.05,5
7,500000,70000,22.54,1396,88.73,5
11,404000,122358,12.05,2179,120,9
7,500000,75000,14.07,2956,69.01,7
5,350000,120000,27.28,1047,69,5
7,380000,40000,17.57,1193,88.7,5
14,114999,95200,13.2,1495,94,5
8,335000,33033,19.4,1198,86.8,5
7,465000,63063,18.9,1197,82,5
10,290000,60000,21.02,1248,88.76,5
17,110000,45000,19.7,796,46.3,5
11,450000,80000,11.57,2179,138.1,7
13,400000,170000,13.6,2523,63,7
15,210000,207890,13.6,2523,63,7
4,4600000,7976,17.9,2143,170,5
6,220000,35000,16.8,796,34.2,8
5,450000,35000,18.9,1197,82,5
5,450000,35000,18.9,1197,82,5
9,290000,50000,16.95,1197,78.9,5
6,520000,20000,20.4,1197,81.8,5
11,265000,20000,16.95,1197,78.9,5
10,330000,50000,18.6,1197,85.8,5
10,330000,50000,18.6,1197,85.8,5
8,509999,120000,15.96,2523,62.1,7
8,500000,70000,17.1,1591,121.3,5
7,525000,50000,17.19,1197,81.86,5
3,675000,16500,21.01,1197,81.8,5
12,300000,70000,17,1197,80,5
17,90000,99361,19.7,796,46.3,5
5,650000,25000,26.59,1248,74,5
8,409000,70000,19.1,1197,85.8,5
7,395000,80000,24,1120,70,5
8,400000,70000,19.1,1197,85.8,5
10,120000,60000,18.6,1199,79.4,5
4,645000,10000,20.3,1199,84,5
16,81000,80000,16.1,796,37,4
5,1300000,30000,25.6,1498,97.9,5
5,1250000,33000,25.6,1498,97.9,5
9,535000,90000,16.02,1373,93.7,7
8,555000,80100,19.01,1461,108.5,5
8,725000,120000,17.4,1497,117.3,5
6,229999,40000,25.17,799,53.3,5
9,800000,160000,12.99,2494,100.6,8
5,409999,47000,20.51,998,67.04,5
4,1210000,25000,21.38,1396,88.7,5
5,400000,26000,23.84,1199,84,5
4,520000,29000,24,1186,73.97,5
6,650000,50000,21.4,1197,83.1,5
11,325000,58000,16.1,1298,88.2,5
10,420000,120000,17.4,1197,85.8,5
8,400000,50000,20.4,1197,81.8,5
12,254999,80000,17,1197,80,5
19,65000,60000,17.3,993,60,5
5,351000,36000,23.1,998,67.04,5
15,404000,120000,12.8,2494,102,8
11,185000,185000,21.1,1248,73.9,5
11,250000,50000,23.08,1461,63.1,5
20,60000,100000,17.3,993,60,5
9,500000,50000,17.1,1591,121.3,5
15,85000,80000,18.2,998,67.1,5
17,85000,80000,19.7,796,46.3,5
11,265000,90000,19.3,1248,73.9,5
12,130000,162000,19,998,66.1,5
9,480000,110000,20.77,1248,88.76,7
14,170000,120000,17.8,1248,75,5
11,275000,45000,23.08,1461,63.1,5
17,89000,90000,18.9,998,67.1,5
12,170000,90000,20,1399,68,5
3,1090000,16500,17,1197,110,5
5,1100000,67000,17.01,1582,126.2,5
4,610000,52000,22,1197,81.8,5
6,335000,40000,20.63,1198,67,5
7,434999,40000,18.9,1197,82,5
4,3000000,35000,14.24,2755,174.5,7
4,390000,13000,20.71,799,53.26,5
10,325000,40000,18.5,1198,86.8,5
3,640000,10000,17,1198,73.75,5
10,450000,9000,16.95,1498,97.7,5
9,400000,70000,23.59,1364,67.06,5
13,215000,60000,20.36,1197,78.9,5
8,570000,40000,20.45,1461,83.8,5
10,680000,93000,15.1,2179,140,7
14,325000,80000,12.8,2494,102,7
11,150000,50000,15.64,1193,64.08,5
9,690000,68000,14.5,1797,147.5,5
9,1550000,25000,14.84,2143,170,5
10,64000,18000,25.4,624,37.5,4
9,250000,120000,23.08,1461,63.1,5
17,65000,35000,18.9,998,67.1,5
6,550000,60000,26.59,1248,74,5
12,140000,70000,20.36,1197,78.9,5
6,300000,30000,25.17,799,53.3,5
6,800000,70000,16.34,1798,189.3,5
5,2625000,9000,13.6,1999,177,5
3,5150000,20000,22.37,2487,214.56,5
5,3200000,45000,19.33,1999,177,5
7,503000,110000,14.1,2179,147.94,7
3,3800000,20000,18,1969,190,5
6,2000000,68089,19.16,2494,157.7,5
9,225000,58343,21.79,998,67.05,5
4,740000,38817,27.39,1248,74,5
6,550000,56494,18.2,1199,88.7,5
9,750000,79328,12.99,2494,100.6,7
3,650000,5621,22,1197,81.8,5
5,625000,25538,16.78,1496,88.73,5
4,600000,69779,22,1197,81.8,5
5,450000,56290,24,1186,73.97,5
3,5400000,7500,16.78,1995,190,5
3,5500000,8500,16.78,1995,190,5
3,779000,7032,19,1199,88.76,5
6,645000,11000,14.3,1598,103.5,5
4,2475000,2000,16.8,1984,150,5
12,150000,106000,20.36,1197,78.9,5
13,500000,120000,11.1,2354,158.8,5
7,480000,90000,26.59,1248,74,5
8,535000,70000,22.32,1582,126.32,5
17,250000,240000,12.8,2494,102,8
10,300000,100000,21.5,1248,88.8,5
13,340000,214000,13.9,1599,103.2,5
13,340000,214000,16.8,1493,110,5
6,240000,50000,22.74,796,47.3,5
4,1085000,1000,18,1497,117.6,5
5,750000,19000,28.4,1248,74.02,5
10,95000,265000,17,1405,70,5
2,409999,35000,20.88,1196,61.7,5
8,215000,80000,23.95,998,67.05,5
6,1290000,50000,16,2179,140,7
12,150000,80000,20.92,998,67.1,5
9,219000,50000,21.1,814,55.2,5
4,325000,100000,23.84,1199,84,5
9,260000,120000,15.1,1196,73,5
5,2625000,9000,13.6,1999,177,5
3,5150000,20000,22.37,2487,214.56,5
5,3200000,45000,19.33,1999,177,5
7,503000,110000,14.1,2179,147.94,7
3,3800000,20000,18,1969,190,5
6,2000000,68089,19.16,2494,157.7,5
9,225000,58343,21.79,998,67.05,5
4,740000,38817,27.39,1248,74,5
6,550000,56494,18.2,1199,88.7,5
9,750000,79328,12.99,2494,100.6,7
3,650000,5621,22,1197,81.8,5
5,625000,25538,16.78,1496,88.73,5
4,600000,69779,22,1197,81.8,5
5,450000,56290,24,1186,73.97,5
3,5400000,7500,16.78,1995,190,5
3,5500000,8500,16.78,1995,190,5
3,779000,7032,19,1199,88.76,5
6,645000,11000,14.3,1598,103.5,5
4,2475000,2000,16.8,1984,150,5
3,700000,40000,23.8,1498,78.9,5
5,950000,45000,21.38,1396,88.7,5
12,160000,80000,19.7,796,46.3,5
7,409999,135000,24.4,1120,71.01,5
7,840000,120000,12.99,2494,100.6,7
9,450000,67000,23.59,1364,67.1,5
5,900000,50000,28.4,1248,74.02,5
14,570000,134000,12.8,2494,102,7
11,254999,110000,23.08,1461,63.1,5
13,130000,40000,16.1,796,37,4
9,530000,120000,23.4,1248,74,5
7,520000,110000,20.14,1498,88.8,5
11,229999,170000,21,1461,64.1,5
18,81000,80000,16.1,796,37,4
6,600000,47000,25.2,1248,74,5
7,409999,93000,19.1,1197,81.86,5
12,120000,70000,16.1,796,37,4
8,320000,50000,23.1,998,67.04,5
7,292000,70000,20,1399,68.05,5
10,390000,80000,13.93,2179,138.03,7
6,550000,44000,18.16,1196,86.8,5
8,385000,25000,23.1,998,67.04,5
6,800000,25000,15.29,1591,121.3,5
3,675000,10000,21.21,1197,81.8,5
4,1525000,50000,17.6,2179,153.86,7
4,950000,30000,23,1498,98.96,5
7,610000,50000,21.19,1396,88.73,5
10,525000,120000,22.54,1396,88.73,5
3,700000,40000,23.8,1498,78.9,5
7,375000,80000,15.96,2523,62.1,7
7,580000,90000,20.45,1461,83.8,5
7,434999,50000,20.4,1197,83.11,5
2,350000,2136,22.5,999,67,5
10,730000,250000,12.99,2494,100,7
7,600000,35000,18.6,1197,81.83,5
7,1050000,120000,12.99,2494,100.6,7
5,735000,70000,27.39,1248,74,5
4,1050000,18000,19.6,1461,108.45,5
6,420000,110000,18.2,1248,73.74,7
5,800000,60000,23.65,1248,88.5,5
7,2000000,60000,12.55,2982,168.5,7
6,600000,147000,26.59,1248,74,5
7,1900000,130000,12.55,2982,168.5,7
11,500000,99500,11.5,1991,147.9,7
11,200000,110000,17,1405,71,5
6,370000,35000,19.49,1198,67.04,5
12,260000,110000,16.2,1493,110,5
6,280000,100000,25.32,1198,77,6
8,610000,21000,16.02,1373,93.7,7
9,300000,60000,23.5,1498,90,5
12,140000,40000,16.6,1405,70,5
14,229999,50000,19.81,1086,68.05,5
12,200000,65000,19,998,66.1,5
11,200000,80000,18.9,998,67.1,5
7,560000,119000,23.9,1582,126.2,5
6,750000,80000,24.52,1248,88.5,7
5,585000,90000,25.2,1248,74,5
6,760000,20000,17.01,1591,121.4,5
8,430000,80000,25.2,1248,74,5
2,480000,44665,25.32,1198,77,6
3,643000,10000,20.8,1493,113.4,5
4,500000,60000,20.14,1197,81.86,5
6,425000,22000,18.5,1198,86.8,5
8,250000,25000,22.74,796,47.3,5
6,285000,70000,27.62,793,47,5
14,160000,123000,17.5,1298,85.8,5
11,250000,70000,20.54,1598,103.6,5
9,170000,70000,18.6,1199,79.4,5
9,409999,45000,23.59,1364,67.06,5
7,400000,40000,18.9,1197,82,5
3,700000,30000,28.4,1248,74.02,5
15,350000,90000,12.9,1799,130,5
6,660000,34000,17.5,1373,91.1,7
5,268000,25000,24.7,796,47.3,5
6,270000,50000,22.74,796,47.3,5
9,300000,50000,25.44,936,57.6,5
5,450000,90000,23.84,1199,84,5
10,220000,70000,25.44,936,57.6,5
13,250000,146000,13.93,2179,138,7
10,300000,85000,15.6,1196,70,5
13,88000,201850,17.88,1396,52.8,5
6,561000,30000,26.59,1248,74,5
4,755000,15000,28.4,1248,74.02,5
5,235000,25000,22.7,799,53.64,5
11,165000,90000,20.92,998,67.1,5
14,190000,80000,19.3,1248,73.9,5
11,110000,50000,17.2,1396,53.5,5
10,320000,80000,13.6,2523,63,8
6,540000,38000,18.6,1197,81.83,5
9,180000,60000,21.1,814,55.2,5
6,270000,100000,15.37,1196,73,7
10,450000,30000,17.5,1197,85.8,5
8,450000,30000,19.1,1197,85.8,5
7,200000,50000,18.6,1199,76.8,5
5,425000,42000,23.84,1199,84,5
6,400000,30000,18.2,1199,82.4,5
13,125000,60000,19.7,796,46.3,5
4,1600000,14000,17.1,1956,170,5
7,900000,22000,17.4,1497,117.3,5
10,450000,90000,20.54,1598,103.6,5
11,210000,46000,20.92,998,67.1,5
4,801000,20000,18.6,1197,81.83,5
8,317000,15000,15.42,1405,70,7
7,600000,40000,16.02,1373,93.7,7
8,330000,30000,18.5,1197,82.85,5
5,320000,15000,21.1,814,55.2,5
15,120000,110000,15.3,1341,83,5
13,130000,70000,19.7,796,46.3,5
7,220000,80000,18.2,1199,82.4,5
7,340000,110000,17.57,1193,88.7,5
9,200000,70000,19.68,1399,67,5
20,140000,50000,19.7,796,46.3,5
9,1000000,190000,12.99,2494,100.6,8
12,495000,100000,13.6,2523,63,7
7,236000,60000,22.74,796,47.3,5
7,390000,40000,20.51,998,67.04,5
13,275000,90000,19.3,1248,73.9,5
7,503000,110000,14.1,2179,147.94,7
5,775000,32000,24.3,1248,88.5,5
6,1800000,30000,11.36,2755,171.5,7
6,850000,58000,19.67,1582,126.2,5
4,750000,5000,24.3,1248,88.5,5
4,570000,25000,18.6,1197,81.83,5
4,580000,32000,18.9,1197,81.86,5
6,484999,30000,18.7,1199,88.7,5
5,700000,43000,15.4,1497,117.3,7
10,415000,60000,17.7,1497,113.42,5
7,325000,50000,19.34,1198,76,5
4,550000,14200,18.16,1196,86.8,5
5,300000,10000,21.1,814,55.2,5
4,217000,25000,22.7,799,53.64,5
4,700000,19100,19,1194,94.68,5
3,466000,25000,20.3,1086,68,5
8,484999,54000,23,1498,98.96,5
4,670000,35000,22.71,1461,84.8,5
4,500000,20000,18.9,1197,81.86,5
6,675000,52000,23.65,1248,88.5,5
11,220000,120000,23,1396,90,5
5,1650000,50000,17.1,1956,170,5
9,630000,120000,20.77,1248,88.8,7
12,250000,90000,18.8,1248,90,5
18,120000,120000,18.9,998,67.1,5
7,300000,101500,21.14,1498,103.52,5
9,525000,75000,22.32,1582,126.3,5
6,1100000,100000,15.4,1997,120,7
10,480000,55735,19.01,1461,108.45,5
8,605000,80000,15.1,2179,140,7
6,250000,50000,24.7,796,47.3,5
9,245000,70000,20,1399,68.1,5
10,210000,76000,20.36,1197,78.9,5
2,730000,1500,21.21,1197,81.8,5
10,500000,76000,15.96,2523,62.1,7
7,400000,40000,20.51,998,67.04,5
7,280000,60000,21.1,814,55.2,5
13,561000,170000,12.8,2494,102,8
9,950000,181491,13.5,2477,175.56,7
6,375000,53319,25.44,936,56.3,5
5,700000,40906,21.66,1498,108.62,5
10,375000,31711,17.6,1496,88.7,5
10,270000,43755,21.1,814,55.2,5
6,300000,66693,25.17,799,53.3,5
12,225000,59549,19,998,67.1,5
7,1350000,94385,12.99,2494,100.6,8
12,200000,73730,18.2,998,67.1,5
11,400000,221889,22.32,1582,126.32,5
9,500000,116104,25.8,1498,98.6,5
7,500000,150546,22,1197,81.8,5
9,1500000,148120,14.24,2755,174.5,7
7,555000,20000,15.8,1499,110,5
4,580000,30000,18.9,1197,81.86,5
11,337000,142000,13.7,2179,138.1,7
11,175000,20000,12.2,1948,68,10
13,180000,120000,18.8,1248,90,5
11,200000,80000,19.81,1086,68.05,5
6,260000,60000,19.09,1405,69.01,5
6,350000,25000,23.01,999,67,5
11,409999,50000,13.6,2523,63,7
5,655000,126000,18.49,1493,100,7
7,370000,170000,26.59,1248,74,5
9,200000,24000,22.74,796,47.3,5
5,800000,100000,24.52,1248,88.5,7
3,550000,10000,24,1199,83.81,5
10,300000,70000,20,1399,68,5
5,220000,40000,16.8,796,34.2,8
11,196000,110000,18.9,998,67.1,5
14,135000,80000,19.81,1086,68.05,5
7,299000,16500,17.57,1193,88.7,5
5,300000,30000,23.95,998,67.05,5
5,720000,80000,24.52,1248,88.5,7
6,650000,50000,14.1,2179,147.94,7
6,300000,25000,23.95,998,67.05,5
3,750000,20000,24,1186,73.97,5
6,260000,60000,25.17,799,53.3,5
11,300000,70000,22.9,1248,74,5
8,600000,50000,15.96,2523,62.1,7
18,275000,100000,9,2997,218,5
7,250000,52000,23.95,998,67.05,5
8,420000,80000,23.4,1248,74,5
7,235000,50000,21.1,814,55.2,5
6,1100000,60000,15.4,2179,120,7
3,360000,25000,23.95,998,67.05,5
8,380000,50000,24,1120,70,5
6,650000,125000,22.77,1498,98.59,5
6,350000,80000,20.51,998,67.04,5
5,700000,70000,15.96,2523,63,9
12,270000,90000,23,1396,90,5
5,450000,50000,22.95,1248,74,5
6,630000,101000,16.55,2498,105,6
12,229999,168000,14,2498,112,7
12,229999,168000,14,2498,112,7
11,270000,40000,18.9,998,67.1,5
13,135000,28900,0,1172,65,5
10,275000,20000,18.9,998,67.1,5
5,2625000,9000,13.6,1999,177,5
3,5150000,20000,22.37,2487,214.56,5
5,3200000,45000,19.33,1999,177,5
7,503000,110000,14.1,2179,147.94,7
3,3800000,20000,18,1969,190,5
6,2000000,68089,19.16,2494,157.7,5
9,225000,58343,21.79,998,67.05,5
4,740000,38817,27.39,1248,74,5
6,550000,56494,18.2,1199,88.7,5
9,750000,79328,12.99,2494,100.6,7
3,650000,5621,22,1197,81.8,5
5,625000,25538,16.78,1496,88.73,5
4,600000,69779,22,1197,81.8,5
5,450000,56290,24,1186,73.97,5
3,5400000,7500,16.78,1995,190,5
3,5500000,8500,16.78,1995,190,5
3,779000,7032,19,1199,88.76,5
6,645000,11000,14.3,1598,103.5,5
4,2475000,2000,16.8,1984,150,5
7,634000,165000,18.49,1493,100,7
10,235000,98500,19,998,66.1,5
14,275000,98000,20.36,1197,78.9,5
8,700000,40000,16.55,2498,105,6
9,400000,90000,20.3,1248,92,5
10,215000,90000,19.7,796,46.3,5
13,150000,110000,17.1,1493,110,5
4,950000,77800,25.1,1248,88.5,5
7,730000,100000,18.49,1493,100,7
10,135000,120000,19,1405,71,5
6,350000,80000,19.1,1197,82,5
4,535000,21000,18.15,1198,82,6
4,455000,100000,19,1197,85.8,5
3,655000,25000,21.21,1197,81.8,5
3,800000,30000,23,1498,98.96,5
4,1100000,25000,17.8,1496,105.5,5
6,3000000,40000,13,2143,204,5
10,1225000,160000,11.5,2982,169,7
4,340000,51492,18.15,1198,82,6
11,300000,72000,20.54,1598,103.6,5
6,370000,60000,18.16,1196,86.8,5
9,330000,136000,15.96,2523,62.1,7
8,238000,60000,17.92,1086,62.1,5
9,200000,90000,17.92,1086,62.1,5
8,320000,91000,22.71,1461,84.8,5
13,114999,90000,17.92,1086,62.1,5
7,320000,50000,20.51,998,67.04,5
12,210000,20000,19.81,1086,68.05,5
11,200000,120000,14,2489,95,8
13,135000,150000,18.9,1061,67,5
7,350000,52000,19.09,1405,69.01,5
8,350000,167000,13.6,2523,63,8
5,680000,40000,28.4,1248,74.02,5
12,200000,190000,17.8,1248,75,5
6,300000,50000,23.01,999,67,5
11,270000,70000,14,2498,112,7
10,225000,80000,18.9,998,67.1,5
14,250000,120000,13.6,2523,63,8
7,590000,40000,18.49,1493,100,7
7,290000,17000,21.1,814,55.2,5
12,100000,180000,19,998,67.1,5
6,395000,50000,23.1,998,67.04,5
8,195000,65000,21.1,814,55.2,5
11,45000,10000,26,624,35,4
13,270000,70000,13.6,2523,63,8
8,600000,90000,13.58,2499,72.4,9
7,715000,50000,22.54,1396,88.73,5
3,600000,10000,18.6,1197,81.86,5
