airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,reviews_per_month
187030,899360,31/07/2011,within a day,1,f,Condesa,0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41057,-99.1773,Entire apartment,Entire home/apt,6,1 bath,2,3,1796,28,365,303,97,91,9,10,10,10,f,0.84
194937,899360,31/07/2011,within a day,1,f,Condesa,0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41057,-99.1773,Entire apartment,Entire home/apt,2,1 bath,1,1,1289,28,365,318,64,93,10,10,10,10,f,0.56
204887,998053,20/08/2011,within a few hours,1,f,Escandón,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,19.4059,-99.17548,Entire apartment,Entire home/apt,2,1 bath,1,1,800,3,180,363,26,91,9,10,10,10,f,0.24
217685,184410,29/07/2010,within an hour,1,t,Hipódromo,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.40548,-99.17291,Entire apartment,Entire home/apt,2,1 bath,1,2,599,7,1125,27,8,95,9,10,10,10,f,0.11
245507,1288063,13/10/2011,within an hour,1,t,Colonia Cuauhtémoc,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.4236,-99.16979,Entire apartment,Entire home/apt,3,1 bath,1,1,790,1,90,207,274,96,9,10,10,10,t,2.36
247543,1297488,16/10/2011,within a day,0.67,f,Centro Histórico,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.43516,-99.13806,Private room in apartment,Private room,1,1 private bath,1,1,599,3,30,364,80,97,10,10,10,10,f,0.7
252618,1326107,23/10/2011,within an hour,1,f,Roma Norte,5,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41472,-99.15602,Private room in apartment,Private room,2,1 private bath,1,0,298,5,1825,0,16,83,9,9,9,9,t,0.14
255354,855066,22/07/2011,,,f,,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.49808,-99.19187,Private room in apartment,Private room,3,0 baths,1,1,659,1,365,365,1,100,10,10,10,10,f,0.01
256555,790208,07/07/2011,within an hour,0.94,f,San Miguel Chapultepec,4,"['email', 'phone', 'facebook', 'reviews', 'manual_offline', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.40663,-99.18653,Entire house,Entire home/apt,14,4.5 baths,4,10,2918,2,365,312,270,98,10,10,10,10,f,2.36
261897,1373924,05/11/2011,within a day,1,f,Roma Norte,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",t,t,19.41877,-99.17199,Entire apartment,Entire home/apt,3,1 bath,1,1,853,3,1125,1,356,95,9,10,10,10,f,3.14
271048,1417206,17/11/2011,,,f,Anzures,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'government_id']",t,t,19.42485,-99.17797,Entire apartment,Entire home/apt,2,2 baths,2,1,1919,5,365,365,13,98,10,10,10,10,f,0.11
281134,196253,09/08/2010,within a few hours,1,f,Condesa,9,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'work_email']",t,t,19.41108,-99.17634,Room in serviced apartment,Hotel room,3,1 bath,1,2,2863,1,365,332,7,94,10,10,10,10,t,0.09
287940,1497087,12/12/2011,within an hour,0.99,f,Condesa,10,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id']",t,t,19.41241,-99.1753,Entire guest suite,Entire home/apt,2,1 bath,1,1,500,1,1125,347,308,92,9,10,10,10,t,3.28
291804,1511568,16/12/2011,,,f,Portales,1,"['email', 'phone', 'facebook']",t,f,19.36305,-99.15412,Private room in apartment,Private room,1,1 bath,1,1,599,2,14,365,0,,,,,,f,
312773,1608293,15/01/2012,within an hour,1,f,Narvarte,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.39843,-99.14881,Entire apartment,Entire home/apt,4,2 baths,2,3,1397,3,180,63,35,96,9,10,10,9,f,0.32
323030,970609,14/08/2011,within a few hours,1,f,Condesa,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.41368,-99.17907,Entire apartment,Entire home/apt,3,1 bath,2,2,814,2,1125,269,177,93,9,10,10,10,f,1.6
325812,1666388,28/01/2012,within a few hours,1,f,Centro Histórico,1,"['email', 'phone', 'facebook', 'reviews']",t,f,19.43319,-99.14665,Private room in apartment,Private room,2,1 private bath,1,1,579,3,10,365,107,96,10,10,10,10,f,1.22
326296,1664327,28/01/2012,within a few hours,1,f,,2,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']",t,t,19.34034,-99.18345,Private room in house,Private room,2,1.5 shared baths,1,1,300,2,160,119,193,96,10,10,10,10,t,1.94
326475,1670032,29/01/2012,within an hour,1,t,Roma Norte,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.41444,-99.15734,Private room in apartment,Private room,2,1 private bath,1,1,520,2,1125,87,98,98,10,10,10,10,f,1.34
329532,1681966,01/02/2012,within an hour,1,f,Roma Sur,4,"['email', 'phone', 'facebook', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41007,-99.13434,Private room in house,Private room,2,1 bath,1,2,397,22,1125,0,0,,,,,,f,
329776,1683373,01/02/2012,within a few hours,1,t,,5,"['email', 'phone', 'reviews']",t,f,19.2751,-99.17757,Private room in house,Private room,2,1.5 shared baths,1,0,279,2,1125,363,15,97,10,10,10,9,t,0.33
350079,1773936,19/02/2012,,,f,Roma Sur,1,"['email', 'phone', 'facebook']",t,f,19.40639,-99.16686,Private room in apartment,Private room,1,1 bath,1,1,1098,5,180,365,0,,,,,,f,
357324,1808252,25/02/2012,a few days or more,0,f,,1,"['email', 'phone', 'facebook', 'reviews']",t,f,19.40237,-99.24315,Private room in house,Private room,2,2 baths,1,1,1996,1,1125,1,0,,,,,,f,
362583,1832239,29/02/2012,within an hour,1,t,Colonia Cuauhtémoc,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.43165,-99.17132,Entire apartment,Entire home/apt,4,2 baths,2,2,1297,2,1125,312,19,98,10,9,10,10,f,0.19
370092,618769,23/05/2011,within an hour,0.97,f,Hipódromo,4,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.40213,-99.16924,Entire loft,Entire home/apt,4,1 bath,,2,442,1,20,344,322,90,9,9,9,9,f,2.91
373792,1821523,27/02/2012,within an hour,1,f,,2,"['email', 'phone', 'facebook', 'reviews', 'work_email']",t,f,19.41277,-99.17546,Private room in apartment,Private room,1,1.5 shared baths,1,1,898,2,365,364,11,93,10,10,10,10,f,0.1
375032,1886913,08/03/2012,within a few hours,0.9,t,Hipódromo,10,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.4075,-99.17561,Private room in bed and breakfast,Private room,16,6 baths,6,13,1350,1,14,365,46,94,10,10,10,10,f,0.42
382712,1918084,13/03/2012,,,f,,1,"['email', 'phone', 'facebook']",t,f,19.45684,-99.17179,Private room in apartment,Private room,2,1 bath,1,1,700,1,7,365,0,,,,,,f,
382904,1915348,13/03/2012,,,f,,1,"['phone', 'facebook', 'reviews']",t,f,19.36905,-99.18303,Shared room in apartment,Shared room,1,1 shared bath,1,1,992,1,1125,0,0,,,,,,f,
386265,1933252,16/03/2012,within an hour,1,t,Moabit,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,19.3424,-99.15419,Private room in apartment,Private room,2,1 private bath,1,1,289,3,365,363,10,92,10,9,9,10,f,0.12
395446,899360,31/07/2011,within a day,1,f,Condesa,0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41068,-99.17732,Entire condominium,Entire home/apt,2,1 bath,1,1,1487,28,1125,364,12,93,9,10,10,10,f,0.12
419110,2084312,06/04/2012,,,f,,1,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,19.41017,-99.17886,Private room in apartment,Private room,2,1.5 shared baths,1,2,659,3,15,88,53,97,10,10,10,10,f,0.91
422159,2099653,09/04/2012,within a few hours,1,t,,8,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']",t,t,19.38998,-99.13644,Private room in loft,Private room,2,1 private bath,1,1,360,3,180,358,8,100,8,10,10,10,f,0.2
454077,2256144,30/04/2012,,,f,Centro Histórico,1,"['email', 'phone']",t,f,19.42454,-99.13845,Private room in apartment,Private room,1,,1,1,499,1,1125,365,2,20,2,2,6,2,f,0.02
456242,1767559,17/02/2012,within a day,1,f,,0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.33036,-99.21737,Private room in house,Private room,1,1.5 shared baths,1,1,798,3,90,19,2,100,10,10,10,10,f,0.03
456409,2269083,01/05/2012,within a day,0.67,f,,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,19.4455,-99.18755,Private room in apartment,Private room,1,1 shared bath,1,1,198,2,360,331,44,96,9,10,10,9,f,0.41
456461,2269083,01/05/2012,within a day,0.67,f,,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,19.44562,-99.18847,Shared room in apartment,Shared room,1,,1,1,297,2,180,145,61,97,9,10,10,9,f,0.57
458808,2281290,03/05/2012,within an hour,0.98,f,Juárez,49,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.42675,-99.1613,Entire apartment,Entire home/apt,2,1 bath,1,2,639,1,1125,360,29,91,9,10,10,10,f,0.43
491412,2428947,21/05/2012,within a few hours,1,f,Puerto Juarez,7,"['email', 'phone', 'reviews', 'offline_government_id', 'government_id']",t,t,19.38875,-99.24067,Private room in apartment,Private room,1,1 shared bath,1,1,1200,7,25,246,0,,,,,,f,
499553,1297488,16/10/2011,within a day,0.67,f,Centro Histórico,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.43621,-99.13874,Entire apartment,Entire home/apt,7,3.5 baths,4,6,3709,3,30,363,23,98,10,10,10,10,f,0.21
501037,1364145,02/11/2011,within a few hours,1,t,Condesa,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,19.41578,-99.17425,Entire apartment,Entire home/apt,4,1 bath,2,2,881,5,70,137,57,95,10,10,10,10,t,0.54
517503,2547499,04/06/2012,within an hour,1,t,,3,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.43784,-99.07903,Private room in guest suite,Private room,2,1 private bath,1,1,318,1,1125,349,155,94,10,10,10,10,t,4.15
521867,2566613,06/06/2012,,,f,,1,"['email', 'phone']",t,f,19.38552,-99.22276,Private room in house,Private room,1,1 bath,1,1,499,2,7,87,0,,,,,,f,
527473,158585,05/07/2010,within an hour,1,t,,8,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.41887,-99.17333,Entire apartment,Entire home/apt,4,1 bath,2,3,1898,2,90,205,189,98,10,10,10,10,f,1.78
544105,2674950,18/06/2012,within an hour,1,f,,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.4418,-99.20095,Private room in apartment,Private room,1,1 private bath,1,1,579,2,1125,57,24,98,9,10,10,10,f,0.52
555663,2732644,24/06/2012,within an hour,1,t,,2,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.42924,-99.15699,Entire apartment,Entire home/apt,4,2 baths,2,2,1428,2,1125,365,30,97,10,10,10,10,f,0.42
567176,2336127,10/05/2012,within a few hours,1,t,Santa María La Ribera,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,19.45595,-99.15944,Private room in apartment,Private room,1,1 bath,1,1,200,7,90,362,24,99,10,10,10,10,f,0.34
571166,196253,09/08/2010,within a few hours,1,f,Condesa,9,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'work_email']",t,t,19.41346,-99.1775,Room in serviced apartment,Hotel room,3,1 bath,1,1,2604,1,1125,103,1,80,10,10,6,10,t,0.04
579534,1326107,23/10/2011,within an hour,1,f,Roma Norte,5,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41269,-99.15512,Private room in apartment,Private room,2,1 private bath,1,1,399,5,1825,85,8,94,9,10,10,10,t,0.09
583039,2872228,08/07/2012,within an hour,1,t,Centro Histórico,6,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,19.43374,-99.14616,Entire condominium,Entire home/apt,4,2 baths,2,2,1152,2,60,245,53,94,10,9,9,10,t,0.51
607833,1849414,03/03/2012,,,f,,1,"['email', 'phone', 'reviews']",t,f,19.48321,-99.11241,Private room in apartment,Private room,2,1 bath,1,1,397,3,365,86,6,97,10,10,10,9,f,0.06
608312,1969996,19/03/2012,within a few hours,1,f,Hipódromo,5,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.40711,-99.17567,Private room in house,Private room,2,1.5 baths,1,1,813,2,1125,269,28,94,9,10,10,10,f,0.28
609012,2944126,15/07/2012,a few days or more,0,f,Tabacalera,1,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,t,19.43221,-99.15708,Entire apartment,Entire home/apt,2,1.5 baths,1,2,1497,4,365,356,24,93,9,9,9,9,f,0.23
617137,3059169,26/07/2012,within a day,1,f,Santa María La Ribera,1,"['email', 'phone', 'facebook']",t,f,19.44614,-99.15868,Shared room in apartment,Shared room,2,1.5 shared baths,1,1,1996,1,1125,365,0,,,,,,f,
618711,2269083,01/05/2012,within a day,0.67,f,,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,19.44353,-99.18649,Shared room in apartment,Shared room,1,1 shared bath,1,1,225,2,120,145,61,96,9,10,10,9,f,0.58
628081,2991302,19/07/2012,within an hour,1,t,Roma Norte,1,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id']",t,t,19.41936,-99.17281,Entire apartment,Entire home/apt,3,1 bath,1,1,1577,3,1125,235,237,97,10,10,10,10,t,2.32
635324,264422,17/10/2010,within a few hours,1,f,Campestre/Guadalupe Inn,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,f,19.35501,-99.19263,Entire apartment,Entire home/apt,2,1 bath,1,1,798,2,125,301,151,98,10,10,10,10,f,1.48
642797,3151538,03/08/2012,within a day,1,f,San Miguel Chapultepec,7,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41499,-99.18215,Entire apartment,Entire home/apt,8,2.5 baths,3,3,5930,6,45,120,90,98,10,10,10,10,f,0.89
654040,3289927,17/08/2012,,,f,,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,19.44232,-99.18332,Private room in condominium,Private room,1,1 shared bath,1,1,564,3,1124,365,1,,,,,,f,0.02
654106,3289927,17/08/2012,,,f,,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,19.44216,-99.18382,Private room in condominium,Private room,1,1 bath,1,1,575,5,180,365,1,91,10,10,8,10,f,0.01
655422,3299226,18/08/2012,within an hour,1,f,La Toscana,2,"['email', 'phone', 'reviews']",t,f,19.41417,-99.11566,Entire house,Entire home/apt,10,3 baths,4,6,975,2,1125,355,69,91,9,10,10,10,t,0.66
712611,3648353,23/09/2012,,,f,Roma Sur,0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,f,19.41046,-99.16409,Entire apartment,Entire home/apt,2,1 bath,1,1,899,3,31,28,170,88,9,10,9,10,f,1.68
717874,3701050,28/09/2012,,,f,Condesa,1,['email'],t,f,19.4117,-99.17821,Private room in apartment,Private room,1,1 bath,1,1,1388,1,1125,0,0,,,,,,f,
728372,3777702,06/10/2012,within an hour,0.93,f,Guerrero,0,"['phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.44222,-99.14461,Entire house,Entire home/apt,16,5.5 baths,10,16,2298,1,90,343,104,94,9,10,10,9,f,1.01
729898,1288063,13/10/2011,within an hour,1,t,Colonia Cuauhtémoc,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.41226,-99.16594,Entire apartment,Entire home/apt,3,1 bath,1,2,1296,1,30,347,286,97,10,10,10,10,f,2.81
736107,3800330,08/10/2012,a few days or more,0,f,Roma Norte,0,"['reviews', 'jumio', 'government_id']",t,t,19.42455,-99.15431,Entire apartment,Entire home/apt,4,1 bath,2,2,1157,3,90,364,253,95,9,10,10,10,f,2.86
737328,3850198,12/10/2012,within an hour,1,t,Colonia Cuauhtémoc,6,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.43059,-99.17073,Room in serviced apartment,Hotel room,2,1 bath,1,1,838,2,730,362,22,96,10,10,10,10,t,0.22
741557,3850198,12/10/2012,within an hour,1,t,Colonia Cuauhtémoc,6,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.43059,-99.17073,Entire serviced apartment,Entire home/apt,2,1 bath,1,1,1091,5,730,116,6,87,9,9,9,9,f,0.06
757338,3991683,27/10/2012,within a few hours,1,t,,6,"['email', 'phone', 'reviews']",t,f,19.3454,-99.16951,Room in bed and breakfast,Hotel room,10,3 baths,5,0,3153,3,8,363,32,98,10,10,10,10,t,0.32
758602,3996052,28/10/2012,,,f,,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,f,19.37696,-99.18097,Private room in apartment,Private room,1,2 baths,1,1,700,1,1125,362,0,,,,,,f,
760912,3817743,09/10/2012,,,f,Roma Sur,0,"['reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.40891,-99.16083,Private room in apartment,Private room,2,1.5 baths,1,1,798,1,14,363,5,95,8,10,9,10,f,0.05
773150,4079778,06/11/2012,within an hour,1,f,Coyoacán,4,"['email', 'phone', 'reviews']",t,f,19.34419,-99.16083,Tiny house,Entire home/apt,3,1 bath,2,2,898,3,1125,364,12,98,10,10,10,10,f,0.13
783080,1767559,17/02/2012,within a day,1,f,,0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.33009,-99.21418,Private room in house,Private room,1,1.5 baths,1,1,599,1,90,365,1,100,10,10,10,10,f,0.01
783919,4517909,28/12/2012,a few days or more,0,f,,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,19.35875,-99.26915,Entire apartment,Entire home/apt,4,2 baths,2,3,1900,20,365,364,29,96,9,10,10,10,f,0.28
796477,4195771,19/11/2012,a few days or more,0,t,,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.41824,-99.1756,Private room in apartment,Private room,2,1 shared bath,1,1,599,2,120,0,140,95,9,10,10,10,f,1.81
822005,4316391,03/12/2012,within an hour,1,f,Escandón,1,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'government_id']",t,t,19.40243,-99.17828,Entire loft,Entire home/apt,6,1 bath,1,1,1326,4,360,365,48,88,9,10,9,9,f,0.51
824016,4326326,04/12/2012,within a day,0.89,f,Hipódromo,6,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.40915,-99.17321,Entire apartment,Entire home/apt,2,1 bath,1,1,900,30,360,363,46,91,9,10,10,10,f,0.49
826691,4326326,04/12/2012,within a day,0.89,f,Hipódromo,6,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.40915,-99.17321,Entire apartment,Entire home/apt,2,1 bath,1,1,850,180,365,324,18,97,9,10,10,10,f,0.2
828714,4344353,06/12/2012,,,f,,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.34183,-99.15533,Entire apartment,Entire home/apt,4,1 bath,2,2,599,1,1125,301,25,95,10,10,10,10,t,0.45
832805,3777702,06/10/2012,within an hour,0.93,f,Guerrero,0,"['phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.44262,-99.14566,Private room in house,Private room,2,1.5 shared baths,1,1,399,1,1125,365,123,95,9,10,10,9,f,1.21
844818,4410326,15/12/2012,,,f,,1,"['email', 'phone', 'reviews']",t,f,19.38336,-99.18197,Private room in apartment,Private room,2,1 shared bath,1,0,460,2,1125,269,8,95,10,10,10,10,f,0.08
864999,3991683,27/10/2012,within a few hours,1,t,,6,"['email', 'phone', 'reviews']",t,f,19.34429,-99.17151,Private room in house,Private room,2,1 private bath,1,0,599,3,8,364,11,95,9,9,9,10,f,0.12
865012,3850198,12/10/2012,within an hour,1,t,Colonia Cuauhtémoc,6,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.43078,-99.17011,Room in serviced apartment,Hotel room,2,1 bath,1,1,912,2,730,361,30,99,10,10,10,10,t,0.3
865017,3991683,27/10/2012,within a few hours,1,t,,6,"['email', 'phone', 'reviews']",t,f,19.34557,-99.17152,Private room in house,Private room,2,1 bath,1,1,599,3,8,364,5,92,9,9,10,9,f,0.05
865034,3991683,27/10/2012,within a few hours,1,t,,6,"['email', 'phone', 'reviews']",t,f,19.34434,-99.1713,Private room in bed and breakfast,Private room,2,1 shared bath,1,1,639,3,8,365,3,80,8,8,8,9,f,0.03
865045,3991683,27/10/2012,within a few hours,1,t,,6,"['email', 'phone', 'reviews']",t,f,19.34393,-99.1713,Room in bed and breakfast,Hotel room,2,1 bath,1,1,659,3,15,2,11,92,9,10,10,9,f,0.11
865070,3991683,27/10/2012,within a few hours,1,t,,6,"['email', 'phone', 'reviews']",t,f,19.34424,-99.17095,Room in bed and breakfast,Hotel room,2,1 bath,1,1,595,3,15,364,8,98,10,10,10,10,f,0.09
868843,3850198,12/10/2012,within an hour,1,t,Colonia Cuauhtémoc,6,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.43068,-99.17007,Room in serviced apartment,Hotel room,2,1 bath,1,1,778,2,730,344,35,99,10,10,10,10,t,0.43
868986,3850198,12/10/2012,within an hour,1,t,Colonia Cuauhtémoc,6,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.4306,-99.17074,Entire serviced apartment,Entire home/apt,2,1 bath,1,1,778,2,730,349,18,98,10,10,10,10,t,0.18
869063,3850198,12/10/2012,within an hour,1,t,Colonia Cuauhtémoc,6,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,19.43052,-99.17003,Room in serviced apartment,Hotel room,2,1 bath,1,1,878,2,730,352,18,99,10,10,10,10,t,0.28
872238,2039132,30/03/2012,,,f,,1,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,t,19.41643,-99.16165,Entire guesthouse,Entire home/apt,2,1 bath,1,1,1686,2,20,178,32,95,10,10,10,10,f,0.32
883511,3777702,06/10/2012,within an hour,0.93,f,Guerrero,0,"['phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,19.44207,-99.14797,Entire house,Entire home/apt,16,5.5 baths,10,16,2295,1,90,315,178,96,10,10,10,9,f,1.77
896522,4647293,09/01/2013,within an hour,1,f,Centro Histórico,2,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,19.43588,-99.13618,Entire apartment,Entire home/apt,2,1 bath,1,1,798,28,365,353,172,95,9,10,10,10,t,1.74
